City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tazovsky,67.4667,78.7,-28.53,99,54,4.66,RU,1710013577
1,whitehorse,60.7161,-135.0538,0.61,68,100,8.75,CA,1710013470
2,coahuayana de hidalgo,18.7,-103.6583,30.97,40,12,3.95,MX,1710013579
3,klyuchi,52.2667,79.1667,1.77,88,100,8.82,RU,1710013579
4,cove,7.221,2.3402,29.56,60,100,3.85,BJ,1710013579
5,ribeira grande,38.5167,-28.7,17.22,82,40,10.8,PT,1710013580
6,jayapura,-2.5333,140.7,23.66,90,97,2.33,ID,1710013580
7,isla del bosque,22.7333,-105.85,25.76,39,87,5.37,MX,1710013581
8,rincon,32.296,-81.2354,23.3,86,75,5.66,US,1710013584
9,maine soroa,13.2114,12.0241,33.68,11,98,3.58,NE,1710013584
10,mount isa,-20.7333,139.5,26.87,69,40,4.12,AU,1710013584
11,waitangi,-43.9535,-176.5597,11.57,80,100,0.89,NZ,1710013585
12,garachico,28.7781,-17.7646,18.06,64,20,1.54,ES,1710013585
13,gadzhiyevo,69.2551,33.3362,-0.03,95,100,4.55,RU,1710013585
14,longford,53.7333,-7.8,6.87,91,100,4.67,IE,1710013586
15,tazacorte,28.629,-17.9293,19.54,79,20,3.13,ES,1710013586
16,edinburgh of the seven seas,-37.0676,-12.3116,17.72,81,2,7.73,SH,1710013586
17,camiri,-20.05,-63.5167,32.88,49,75,0.0,BO,1710013587
18,jamestown,42.097,-79.2353,8.34,95,100,5.14,US,1710013587
19,bilibino,68.0546,166.4372,-18.89,99,100,1.04,RU,1710013588
20,port lincoln,-34.7333,135.8667,22.9,68,15,2.16,AU,1710013588
21,bechar,31.6167,-2.2167,21.18,11,0,3.09,DZ,1710013588
22,port-aux-francais,-49.35,70.2167,7.82,98,100,14.07,TF,1710013589
23,port mathurin,-19.6833,63.4167,26.85,85,0,6.92,MU,1710013589
24,vorgashor,67.5833,63.95,-26.38,100,94,0.94,RU,1710013589
25,talnakh,69.4865,88.3972,-15.44,89,100,2.93,RU,1710013590
26,grytviken,-54.2811,-36.5092,6.38,79,84,0.68,GS,1710013590
27,kiunga,-6.1219,141.2906,23.68,100,100,0.8,PG,1710013591
28,hermanus,-34.4187,19.2345,17.11,87,0,1.81,ZA,1710013591
29,blackmans bay,-43.0167,147.3167,24.07,72,100,2.43,AU,1710013591
30,bredasdorp,-34.5322,20.0403,18.59,81,0,1.16,ZA,1710013591
31,ayr,55.4627,-4.6339,6.39,81,75,7.2,GB,1710013592
32,puerto natales,-51.7236,-72.4875,12.25,62,100,8.23,CL,1710013592
33,sarangani,5.4033,125.4636,26.99,76,3,9.14,PH,1710013592
34,crane,31.3974,-102.3501,11.7,37,6,3.97,US,1710013593
35,longyearbyen,78.2186,15.6401,-3.09,80,75,10.8,SJ,1710013593
36,ceres,37.5949,-120.9577,17.34,65,0,0.0,US,1710013593
37,papatowai,-46.5619,169.4708,9.83,63,58,2.15,NZ,1710013593
38,rocha,-34.4833,-54.3333,28.64,53,1,7.28,UY,1710013586
39,shitanjing,39.2342,106.3439,2.49,28,100,2.13,CN,1710013594
40,iqaluit,63.7506,-68.5145,-25.73,68,40,0.0,CA,1710013595
41,lebu,-37.6167,-73.65,16.66,68,4,5.58,CL,1710013595
42,yellowknife,62.456,-114.3525,-0.88,81,100,3.6,CA,1710013465
43,zaragoza,41.6561,-0.8773,11.0,51,20,6.17,ES,1710013596
44,kuusamo,65.9667,29.1833,0.02,80,100,3.6,FI,1710013596
45,dwarka,22.2394,68.9678,24.12,45,59,3.14,IN,1710013596
46,morehead city,34.7229,-76.726,19.0,87,100,8.75,US,1710013597
47,lazaro cardenas,17.9583,-102.2,27.61,56,1,4.08,MX,1710013597
48,sal rei,16.1833,-22.9167,22.11,68,40,9.77,CV,1710013597
49,kavieng,-2.5744,150.7967,27.5,79,91,1.58,PG,1710013598
50,saldanha,-33.0117,17.9442,18.03,85,0,8.68,ZA,1710013598
51,adamstown,-25.066,-130.1015,24.99,67,35,3.88,PN,1710013598
52,isafjordur,66.0755,-23.124,2.51,75,100,2.87,IS,1710013598
53,fortuna,40.5982,-124.1573,13.32,82,75,1.34,US,1710013599
54,mil'kovo,55.6078,37.7956,-5.78,97,100,1.47,RU,1710013599
55,bethel,41.3712,-73.414,4.75,84,100,5.66,US,1710013587
56,votkinsk,57.0486,53.9872,-10.15,97,93,2.63,RU,1710013600
57,tavda,58.0425,65.2726,-6.28,98,99,0.89,RU,1710013600
58,hawaiian paradise park,19.5933,-154.9731,22.8,91,100,1.34,US,1710013601
59,swan hill,-35.3378,143.5544,24.91,34,3,3.12,AU,1710013601
60,mariehamn,60.0973,19.9348,-1.77,80,100,1.54,AX,1710013602
61,qaqortoq,60.7167,-46.0333,-12.23,87,13,0.75,GL,1710013602
62,san antonio de pale,-1.4014,5.6325,27.09,81,100,3.83,GQ,1710013602
63,la salle,41.3334,-89.0918,7.12,61,75,7.72,US,1710013514
64,invercargill,-46.4,168.35,6.12,96,88,1.34,NZ,1710013604
65,fale old settlement,-9.3852,-171.2468,29.2,78,18,7.07,TK,1710013604
66,stanley,54.868,-1.6985,5.16,89,75,5.14,GB,1710013605
67,college,64.8569,-147.8028,-13.29,69,100,0.0,US,1710013348
68,antsohihy,-14.8796,47.9875,24.82,95,91,0.89,MG,1710013605
69,margate,51.3813,1.3862,11.73,79,100,0.89,GB,1710013606
70,fort bragg,35.139,-79.006,21.91,86,100,3.6,US,1710013606
71,kazanskoye,55.6448,69.235,-8.39,97,100,2.78,RU,1710013606
72,bengkulu,-3.8004,102.2655,24.56,89,100,2.85,ID,1710013607
73,igarka,67.4667,86.5833,-10.3,95,100,5.88,RU,1710013607
74,hithadhoo,-0.6,73.0833,28.07,73,9,5.02,MV,1710013607
75,kingscliff,-28.2667,153.5667,24.29,83,75,6.17,AU,1710013607
76,geraldton,-28.7667,114.6,15.23,77,0,3.6,AU,1710013608
77,al jadid,27.05,14.4,20.19,22,0,3.92,LY,1710013608
78,enewetak,11.3474,162.3373,26.27,81,100,10.8,MH,1710013609
79,auki,-8.7676,160.7034,27.03,87,100,2.06,SB,1710013609
80,krasnyy kut,50.95,46.9667,-3.92,93,98,5.11,RU,1710013610
81,tromso,69.6496,18.957,2.01,87,75,3.6,NO,1710013610
82,humaita,-7.5061,-63.0208,28.03,90,100,1.29,BR,1710013611
83,barah,13.7,30.3667,26.68,12,2,4.36,SD,1710013611
84,ushuaia,-54.8,-68.3,9.81,87,75,10.8,AR,1710013611
85,nacala,-14.5428,40.6728,25.93,91,100,2.21,MZ,1710013612
86,choyr,46.3611,108.3611,-11.2,86,100,0.34,MN,1710013612
87,susuman,62.7833,148.1667,-25.01,95,100,0.89,RU,1710013612
88,naifaru,5.4444,73.3657,27.64,74,1,3.58,MV,1710013613
89,ghat,24.9647,10.1728,21.36,11,1,2.62,LY,1710013613
90,hovd,48.0056,91.6419,-6.97,58,7,0.68,MN,1710013613
91,debno,52.739,14.698,8.41,80,33,3.98,PL,1710013614
92,colonia,50.9333,6.95,12.87,52,0,3.6,DE,1710013565
93,tual,-5.6667,132.75,28.56,80,99,7.89,ID,1710013614
94,ilulissat,69.2167,-51.1,-15.99,78,75,2.57,GL,1710013615
95,strelka,58.0728,93.0344,-20.83,100,99,1.49,RU,1710013615
96,necochea,-38.5473,-58.7368,21.41,41,0,8.14,AR,1710013616
97,vilyuchinsk,52.9306,158.4028,-4.85,86,100,3.65,RU,1710013616
98,albany,42.6001,-73.9662,6.07,73,100,2.24,US,1710013522
99,tongliao,43.6125,122.2653,-3.58,68,0,2.88,CN,1710013616
100,utrik,11.2278,169.8474,26.28,75,92,11.26,MH,1710013617
101,timberwood park,29.7058,-98.4783,17.18,51,40,5.14,US,1710013617
102,vadso,70.0744,29.7487,2.09,87,100,3.6,NO,1710013617
103,sechura,-5.5569,-80.8222,29.67,58,66,7.38,PE,1710013618
104,gorontalo,0.5412,123.0595,23.6,92,100,2.11,ID,1710013618
105,mukalla,14.5425,49.1242,26.09,78,27,1.2,YE,1710013618
106,juan griego,11.0817,-63.9655,37.07,44,17,7.72,VE,1710013619
107,georgetown,5.4112,100.3354,28.3,83,20,2.24,MY,1710013410
108,kamaishi,39.2667,141.8833,-2.69,77,9,3.32,JP,1710013619
109,remire-montjoly,4.9167,-52.2667,30.02,66,20,5.66,GF,1710013620
110,udachny,66.4167,112.4,-26.02,100,100,1.31,RU,1710013620
111,kenai,60.5544,-151.2583,-8.97,79,0,1.54,US,1710013620
112,moroni,-11.7022,43.2551,27.74,80,100,1.14,KM,1710013621
113,aizkraukle,56.6048,25.2553,-1.96,73,43,1.8,LV,1710013621
114,inarajan village,13.2736,144.7484,27.08,92,48,7.15,GU,1710013621
115,vallenar,-28.5708,-70.7581,31.63,25,16,3.67,CL,1710013622
116,kodiak,57.79,-152.4072,-2.27,69,0,3.6,US,1710013622
117,alofi,-19.0595,-169.9187,27.94,89,40,3.09,NU,1710013622
118,olonkinbyen,70.9221,-8.7187,0.37,91,24,3.38,SJ,1710013623
119,waingapu,-9.6567,120.2641,26.12,89,100,3.7,ID,1710013623
120,tutoia,-2.7619,-42.2744,27.38,86,100,2.82,BR,1710013624
121,galliano,29.4422,-90.2992,19.44,77,100,6.17,US,1710013624
122,sitka,57.0531,-135.33,5.94,70,40,4.12,US,1710013624
123,yazykovo,55.2199,56.1353,-8.91,97,100,1.39,RU,1710013625
124,kone,-21.0595,164.8658,25.01,85,24,2.47,NC,1710013625
